dcap-ql,0.3.7
dcss-api,0.1.3
dd-tracing-layer,0.1.3
ddbug,0.3.0
ddelta,0.2.1
ddiff,0.1.0
ddshow,0.2.2
dean_minigrep,0.1.1
deb-rust,0.1.2
debpkg,0.6.0
debridge-solana-sdk,1.0.1
dec,0.4.8
dec-number-sys,0.0.25
decart,0.0.9
decimal,2.1.0
decimal_fixes_mirror,2.0.4-fix1.0.0
decnumber-sys,0.1.5
decstr,0.2.0
dedbg,0.1.1
deltalake,0.15.0
deno-libffi,0.0.7
deno-libffi-sys,0.0.7
deno_cache,0.51.0
depdive,0.1.0
depploy,0.2.3
derivation32,1.1.2
derive-dynamic-node,0.2.1
deser-hjson,2.2.0
destiny_rs,0.1.1
destructivator,0.1.0
deterministic-bloom,0.1.0
deterministic-wasi-ctx,0.1.14
deterministic-zip,0.0.4
detour3,0.1.0
devnet-token-faucet,0.1.0
devsync,0.3.2
dexios-domain,1.0.1
dfhack-proto-srcs,0.7.0
dfkzr,0.1.0
dharithri-price-aggregator-sc,0.43.3
dharithri-sc-meta,0.43.3
dharithri-sc-scenario,0.43.3
dharithri-sc-snippets,0.43.3
dharithri-wegld-swap-sc,0.43.3
dhat,0.3.2
dices,0.3.0
dicomweb-client,0.1.0
dicomweb-server,0.1.0
dictcc-cli,0.2.0
diesel-oci,0.2.1
differential-dataflow,0.12.0
diffmetrik,0.3.0
diffsitter,0.8.1
difftastic,0.51.1
difftastic-lib,0.0.2
difftastic-oc,0.23.0
difftastic_mod_for_windows,0.27.0
digibyte,0.27.3
digibyte-rpc,0.13.2
dilithium-raw,0.1.0
dioxus-studio,0.1.0
dircpy,0.3.15
dircs,0.1.7
disco,0.1.0
disklru,0.3.2
diskspace_insight,0.1.94
dispnet-hash,0.4.0
distant-ssh2,0.20.0
distill-daemon,0.0.3
distill-downstream-lmdb-rkv,0.11.0-windows-fix
dlc-trie,0.4.0
dmarc_aggregate_parser,0.1.4
dmenv,0.20.1
dmntk-atto,0.0.8
dnpak,2.1.2
dnsclient,0.1.18
