test_name,crate_name,version
fetch::credentials::test::credentials_build_form_test,advocat,3.0.0
extkey_bip32::tests::test_vector_1,aigc_keychain,5.1.2
extkey_bip32::tests::test_vector_2,aigc_keychain,5.1.2
extkey_bip32::tests::test_vector_3,aigc_keychain,5.1.2
keychain::test::secret_key_addition,aigc_keychain,5.1.2
keychain::test::test_key_derivation,aigc_keychain,5.1.2
types::test::split_blinding_factor,aigc_keychain,5.1.2
types::test::zero_key_addition,aigc_keychain,5.1.2
aggsig::tests::test_aggsig_batch,aigc_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_exchange,aigc_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_fuzz,aigc_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_multisig,aigc_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_single,aigc_secp256k1zkp,0.7.12
ecdh::tests::ecdh,aigc_secp256k1zkp,0.7.12
key::test::invalid_secret_key,aigc_secp256k1zkp,0.7.12
key::test::keypair_slice_round_trip,aigc_secp256k1zkp,0.7.12
key::test::pubkey_from_slice,aigc_secp256k1zkp,0.7.12
key::test::pubkey_hash,aigc_secp256k1zkp,0.7.12
key::test::skey_clear_on_drop,aigc_secp256k1zkp,0.7.12
key::test::skey_from_slice,aigc_secp256k1zkp,0.7.12
key::test::test_add_exp_bad_context,aigc_secp256k1zkp,0.7.12
key::test::test_addition,aigc_secp256k1zkp,0.7.12
key::test::test_debug_output,aigc_secp256k1zkp,0.7.12
key::test::test_inverse,aigc_secp256k1zkp,0.7.12
key::test::test_multiplication,aigc_secp256k1zkp,0.7.12
key::test::test_negate,aigc_secp256k1zkp,0.7.12
key::test::test_out_of_range,aigc_secp256k1zkp,0.7.12
key::test::test_pk_combination,aigc_secp256k1zkp,0.7.12
key::test::test_pubkey_from_bad_slice,aigc_secp256k1zkp,0.7.12
key::test::test_pubkey_from_slice_bad_context,aigc_secp256k1zkp,0.7.12
key::test::test_pubkey_serialize,aigc_secp256k1zkp,0.7.12
key::test::test_serialize,aigc_secp256k1zkp,0.7.12
key::test::test_serialize_serde,aigc_secp256k1zkp,0.7.12
pedersen::tests::commit_parse_ser,aigc_secp256k1zkp,0.7.12
pedersen::tests::rewind_empty_message,aigc_secp256k1zkp,0.7.12
pedersen::tests::rewind_message,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_blind_commit,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_bullet_proof_multisig,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_bullet_proof_single,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_bullet_proof_verify_multi,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_commit_sum,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_from_pubkey,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_range_proof,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_sign_with_pubkey_from_commitment,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_to_pubkey,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_verify_commit_sum_one_keys,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_verify_commit_sum_random_keys,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_verify_commit_sum_random_keys_switch,aigc_secp256k1zkp,0.7.12
pedersen::tests::test_verify_commit_sum_zero_keys,aigc_secp256k1zkp,0.7.12
tests::bad_recovery,aigc_secp256k1zkp,0.7.12
tests::capabilities,aigc_secp256k1zkp,0.7.12
tests::invalid_pubkey,aigc_secp256k1zkp,0.7.12
tests::sign,aigc_secp256k1zkp,0.7.12
tests::sign_and_verify,aigc_secp256k1zkp,0.7.12
tests::sign_and_verify_extreme,aigc_secp256k1zkp,0.7.12
tests::sign_and_verify_fail,aigc_secp256k1zkp,0.7.12
tests::sign_with_recovery,aigc_secp256k1zkp,0.7.12
tests::signature_serialize_roundtrip,aigc_secp256k1zkp,0.7.12
tests::test_bad_slice,aigc_secp256k1zkp,0.7.12
tests::test_debug_output,aigc_secp256k1zkp,0.7.12
tests::test_low_s,aigc_secp256k1zkp,0.7.12
tests::test_recov_sig_serialize_compact,aigc_secp256k1zkp,0.7.12
backend::rust::encode::tests::test_encode_against_c,argonautica,0.2.0
hasher::tests::test_hasher_fast_but_insecure,argonautica,0.2.0
constraints::test::test_rule_with_constraints,ast-grep-config,0.12.1
constraints::test::test_serializable_pattern,ast-grep-config,0.12.1
constraints::test::test_serializable_regex,ast-grep-config,0.12.1
referent_rule::test::test_success_rule,ast-grep-config,0.12.1
relational_rule::test::test_follows_immediate,ast-grep-config,0.12.1
relational_rule::test::test_follows_operator,ast-grep-config,0.12.1
relational_rule::test::test_has_field,ast-grep-config,0.12.1
relational_rule::test::test_has_immediate,ast-grep-config,0.12.1
relational_rule::test::test_has_rule,ast-grep-config,0.12.1
relational_rule::test::test_inside_immediate,ast-grep-config,0.12.1
relational_rule::test::test_inside_rule,ast-grep-config,0.12.1
relational_rule::test::test_precedes_immediate,ast-grep-config,0.12.1
relational_rule::test::test_precedes_operator,ast-grep-config,0.12.1
rule_config::test::test_augmented_rule,ast-grep-config,0.12.1
rule_config::test::test_multiple_augment_rule,ast-grep-config,0.12.1
rule_config::test::test_rule_env,ast-grep-config,0.12.1
rule_config::test::test_rule_message,ast-grep-config,0.12.1
rule_config::test::test_transform,ast-grep-config,0.12.1
rule_config::test::test_utils_rule,ast-grep-config,0.12.1
test::test_deserialize_constraints,ast-grep-config,0.12.1
test::test_deserialize_meta_var,ast-grep-config,0.12.1
test::test_deserialize_nested,ast-grep-config,0.12.1
test::test_deserialize_rule_config,ast-grep-config,0.12.1
transform::test::test_insert_env,ast-grep-config,0.12.1
transform::test::test_no_end_char,ast-grep-config,0.12.1
transform::test::test_no_start_char,ast-grep-config,0.12.1
transform::test::test_replace,ast-grep-config,0.12.1
transform::test::test_simple_replace,ast-grep-config,0.12.1
match_tree::test::test_ellipsis_end,ast-grep-core,0.12.1
match_tree::test::test_leading_ellipsis,ast-grep-core,0.12.1
match_tree::test::test_match_end,ast-grep-core,0.12.1
match_tree::test::test_match_inner,ast-grep-core,0.12.1
match_tree::test::test_meta_var_multiple_occurrence,ast-grep-core,0.12.1
match_tree::test::test_meta_var_named,ast-grep-core,0.12.1
match_tree::test::test_named_ellipsis,ast-grep-core,0.12.1
match_tree::test::test_nested_match,ast-grep-core,0.12.1
match_tree::test::test_should_exactly_match,ast-grep-core,0.12.1
match_tree::test::test_simple_match,ast-grep-core,0.12.1
match_tree::test::test_single_ellipsis,ast-grep-core,0.12.1
match_tree::test::test_skip_trivial_node,ast-grep-core,0.12.1
match_tree::test::test_string,ast-grep-core,0.12.1
match_tree::test::test_trailing_ellipsis,ast-grep-core,0.12.1
match_tree::test::test_trivia_in_pattern,ast-grep-core,0.12.1
matcher::kind::test::test_kind_match,ast-grep-core,0.12.1
matcher::kind::test::test_kind_non_match,ast-grep-core,0.12.1
matcher::node_match::test::test_node_env,ast-grep-core,0.12.1
matcher::node_match::test::test_node_match_as_node,ast-grep-core,0.12.1
matcher::node_match::test::test_replace_by,ast-grep-core,0.12.1
matcher::pattern::test::test_bare_wildcard,ast-grep-core,0.12.1
matcher::pattern::test::test_class_assignment,ast-grep-core,0.12.1
matcher::pattern::test::test_contextual_match_with_env,ast-grep-core,0.12.1
matcher::pattern::test::test_contextual_pattern,ast-grep-core,0.12.1
matcher::pattern::test::test_contextual_potential_kinds,ast-grep-core,0.12.1
matcher::pattern::test::test_contextual_unmatch_with_env,ast-grep-core,0.12.1
matcher::pattern::test::test_contextual_wildcard,ast-grep-core,0.12.1
matcher::pattern::test::test_doc_pattern,ast-grep-core,0.12.1
matcher::pattern::test::test_error,ast-grep-core,0.12.1
matcher::pattern::test::test_match_non_atomic,ast-grep-core,0.12.1
matcher::pattern::test::test_meta_variable,ast-grep-core,0.12.1
matcher::pattern::test::test_meta_variable_env,ast-grep-core,0.12.1
matcher::pattern::test::test_pattern_potential_kinds,ast-grep-core,0.12.1
matcher::pattern::test::test_pattern_with_non_root_meta_var,ast-grep-core,0.12.1
matcher::pattern::test::test_return,ast-grep-core,0.12.1
meta_var::test::test_match_constraints,ast-grep-core,0.12.1
meta_var::test::test_match_not_constraints,ast-grep-core,0.12.1
meta_var::test::test_multi_var_match,ast-grep-core,0.12.1
meta_var::test::test_multi_var_match_with_trailing,ast-grep-core,0.12.1
node::test::follows,ast-grep-core,0.12.1
node::test::precedes,ast-grep-core,0.12.1
node::test::test_children,ast-grep-core,0.12.1
node::test::test_display_context,ast-grep-core,0.12.1
node::test::test_empty,ast-grep-core,0.12.1
node::test::test_field_children,ast-grep-core,0.12.1
node::test::test_has,ast-grep-core,0.12.1
node::test::test_inside,ast-grep-core,0.12.1
node::test::test_is_leaf,ast-grep-core,0.12.1
node::test::test_multi_line_context,ast-grep-core,0.12.1
node::test::test_replace_all_multiple_sorted,ast-grep-core,0.12.1
node::test::test_replace_all_nested,ast-grep-core,0.12.1
ops::test::test_all_kinds,ast-grep-core,0.12.1
ops::test::test_and,ast-grep-core,0.12.1
ops::test::test_and_kinds,ast-grep-core,0.12.1
ops::test::test_any_kinds,ast-grep-core,0.12.1
ops::test::test_any_revert_env,ast-grep-core,0.12.1
ops::test::test_api_and,ast-grep-core,0.12.1
ops::test::test_api_or,ast-grep-core,0.12.1
ops::test::test_multiple_match,ast-grep-core,0.12.1
ops::test::test_multiple_match_order,ast-grep-core,0.12.1
ops::test::test_not,ast-grep-core,0.12.1
ops::test::test_or,ast-grep-core,0.12.1
ops::test::test_or_kinds,ast-grep-core,0.12.1
ops::test::test_or_revert_env,ast-grep-core,0.12.1
pinned::test::test_borrow,ast-grep-core,0.12.1
pinned::test::test_vec_node,ast-grep-core,0.12.1
replacer::structural::test::test_ellipsis_meta_var,ast-grep-core,0.12.1
replacer::structural::test::test_multi_ellipsis,ast-grep-core,0.12.1
replacer::structural::test::test_multiple_env,ast-grep-core,0.12.1
replacer::structural::test::test_multiple_occurrences,ast-grep-core,0.12.1
replacer::structural::test::test_no_env,ast-grep-core,0.12.1
replacer::structural::test::test_replace_in_string,ast-grep-core,0.12.1
replacer::structural::test::test_single_env,ast-grep-core,0.12.1
replacer::template::test::test_ellipsis_meta_var,ast-grep-core,0.12.1
replacer::template::test::test_example,ast-grep-core,0.12.1
replacer::template::test::test_multi_ellipsis,ast-grep-core,0.12.1
replacer::template::test::test_multiple_env,ast-grep-core,0.12.1
replacer::template::test::test_multiple_occurrences,ast-grep-core,0.12.1
replacer::template::test::test_no_env,ast-grep-core,0.12.1
replacer::template::test::test_replace_in_string,ast-grep-core,0.12.1
replacer::template::test::test_single_env,ast-grep-core,0.12.1
replacer::template::test::test_template,ast-grep-core,0.12.1
source::test::test_edit,ast-grep-core,0.12.1
source::test::test_object_literal,ast-grep-core,0.12.1
source::test::test_row_col,ast-grep-core,0.12.1
source::test::test_string,ast-grep-core,0.12.1
source::test::test_tree_sitter,ast-grep-core,0.12.1
test::test_replace,ast-grep-core,0.12.1
test::test_replace_by_rule,ast-grep-core,0.12.1
test::test_replace_trivia,ast-grep-core,0.12.1
test::test_replace_trivia_with_skipped,ast-grep-core,0.12.1
test::test_replace_unnamed_node,ast-grep-core,0.12.1
traversal::test::tes_pre_order,ast-grep-core,0.12.1
traversal::test::test_different_order,ast-grep-core,0.12.1
traversal::test::test_fused_traversal,ast-grep-core,0.12.1
traversal::test::test_non_root_traverse,ast-grep-core,0.12.1
traversal::test::test_post_order,ast-grep-core,0.12.1
traversal::test::test_post_order_visitor,ast-grep-core,0.12.1
traversal::test::test_pre_order_visitor,ast-grep-core,0.12.1
